Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
07/12/2017,"CLOONBOO, CORRANDULLA, GALWAY",Galway,,"€386,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/03/2017,"176 LINKS COTTAGES, DOONBEG, CLARE",Clare,,"€375,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/09/2017,"BALLYHAHILL, BALLINGARRY, CO LIMERICK",Limerick,,"€138,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/02/2017,"12A COLLEGE PARK, DUNSHAUGHLIN, COLLEGE PARK",Meath,,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/01/2017,"128 SEAFIELD RD, CLONTARF, DUBLIN 3",Dublin,,"€535,500.00",Yes,No,Second-Hand Dwelling house /Apartment,
31/03/2017,"153 GORT NA COIRIBE, HEADFORD RD, GALWAY",Galway,,"€225,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/02/2017,"FARRANREAGH, KNIGHTSTOWN, VALENTIA",Kerry,,"€251,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/05/2017,"15 ROSARY PLACE, MIDLETON, CORK",Cork,,"€152,500.00",No,No,Second-Hand Dwelling house /Apartment,
03/08/2017,"49 Summerseat Crescent, Summerseat, Clonee",Meath,,"€189,427.31",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
13/11/2017,"59 THE GREEN, DUNBOYNE CASTLE, DUNBOYNE",Meath,,"€290,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/05/2017,"47 PAIRC AN DUIN, SWELLAN, CAVAN",Cavan,,"€145,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/12/2017,"42 HEATHER COURT, STEPASIDE PARK, STEPASIDE DUBLIN 18",Dublin,,"€330,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/01/2017,"EBENEZER, SORRENTO RD, DALKEY",Dublin,,"€655,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/03/2017,"HEATHFIELD, PULLOUGH, TULLAMORE OFFALY",Offaly,,"€107,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/02/2017,"10 GORT AOIBHINN, LIS CARA LEITRIM ROAD, CARRICK ON SHANNON",Leitrim,,"€51,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/06/2017,"18 BALLANTYNE PLACE, STEAMBOAT QUAY, LIMERICK",Limerick,,"€101,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/05/2017,"37 BALLYMANY MANOR, NEWBRIDGE, KILDARE",Kildare,,"€241,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/11/2017,"5 KICKHAM RD, INCHICORE, DUBLIN 8",Dublin,,"€385,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/07/2017,"9 ST JOHNS TERRACE, KILKENNY",Kilkenny,,"€395,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/06/2017,"20 KILWARDEN COURT, BOOT RD, DUBLIN 22",Dublin,,"€95,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/12/2017,"68 DEERHAVEN AVE, CLONEE, DUBLIN 15",Dublin,,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/08/2017,"4 WOODLANDS, BALLYMURN, ENNISCORTHY",Wexford,,"€199,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/06/2017,"3 KERRYHALL RD, FAIR HILL, CORK",Cork,,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/04/2017,"8 CLOVER HILL, DOORADOYLE, LIMERICK",Limerick,,"€197,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/09/2017,"7 SLÍABHGAMPH, COOLANEY, CO SLIGO",Sligo,,"€92,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/10/2017,"16 THE OAKS, ELMFIELD, LEOPARDSTOWN",Dublin,,"€321,138.63",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
15/12/2017,"102 CUSTOM HALL, LOWER GARDINER STREET, DUBLIN 1",Dublin,,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/09/2017,"10 THE CEDARS, MONKSTOWN VALLEY, MONKSTOWN",Dublin,,"€390,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/12/2017,"71 MEWCASTLE MANOR SQ, NEWCASTLE, DUBLIN",Dublin,,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/10/2017,"7 SUMMERHILL HEIGHTS, BANDON, CORK",Cork,,"€225,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/08/2017,"40 HAYESTOWN, RUSH, DUBLIN",Dublin,,"€232,500.00",No,No,Second-Hand Dwelling house /Apartment,
18/12/2017,"18 SLIEVEBLOOM PARK, DUBLIN 12, DUBLIN",Dublin,,"€328,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/01/2017,"53 RATHBORNE DR, EARLSWOOD, ASHTOWN DUBLIN 15",Dublin,,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2017,"CORNABANNY, CLOONFAD, BALLYHAUNIS",Roscommon,,"€22,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/12/2017,"10 SHACKLETON WAY, SHACKLETON PARK, LUCAN",Dublin,,"€264,273.11",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
21/09/2017,"3 CANAL COURT, CANAL RD UPPER, GALWAY",Galway,,"€350,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/07/2017,"No. 6 Ard Lugalisheen, Ballindine",Mayo,,"€83,700.44",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
05/10/2017,"CLONMINCH, TULLAMORE, OFFALY",Offaly,,"€225,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/04/2017,"21 Aughamore, Kilcock Road, Clane",Kildare,,"€282,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
24/10/2017,"ARD NA GREINE, CLOONLOUGH, MITCHELSTOWN",Cork,,"€175,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
29/08/2017,"8 THE SPINNAKER, ALVERNO, CLONTARF RD DUBLIN 3",Dublin,,"€253,500.00",No,No,Second-Hand Dwelling house /Apartment,
29/11/2017,"40 CHERRYFIELD RD, WALKINSTOWN, DUBLIN 12",Dublin,,"€405,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/12/2017,"WOODS COTTAGE, MAYNOOTH ROAD, DUNBOYNE",Meath,,"€645,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/07/2017,"GLEN, CLARE ISLAND, WESTPORT",Mayo,,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/08/2017,"Apartment 35 Seascape, 366 Clontarf Road",Dublin,,"€343,612.34",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
13/11/2017,"MONTANAGAY, ABBEYDORNEY, KERRY",Kerry,,"€105,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/03/2017,"21 TYNAN HALL GROVE, KINGSWOOD, BALLYMOUNT",Dublin,,"€360,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/03/2017,"WHITE HOUSE, EAST END, BUNDORAN",Donegal,,"€77,500.00",No,No,Second-Hand Dwelling house /Apartment,
10/08/2017,"19 JOLLY MARINER, ATHLONE, WESTMEATH",Westmeath,,"€109,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/10/2017,"43 LORETTO PK, FRIARS WALK, CORK",Cork,,"€211,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/03/2017,"16 RIVERCHAPEL GREEN, RIVERCHAPEL WOOD, GOREY",Wexford,,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/09/2017,"SUMMERVILLE HOUSE, CANTWELL ST, CLONMEL",Tipperary,,"€405,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/12/2017,"5 Parkside Heath, Parkside, Malahide Road",Dublin,,"€312,776.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
26/05/2017,"17 MAPLE DR, MILLFARM, DUNBOYNE",Meath,,"€440,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/07/2017,"21 Laharran East, Manor Farm, Lehenaghbeg",Cork,,"€211,454.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
10/02/2017,"21 ARDFRAIL COURT, OLDCASTLE, CO MEATH",Meath,,"€70,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/09/2017,"BALLAHANTOURIG, SCARTAGLIN, KILLARNEY",Kerry,,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/06/2017,"22 Steeplechase Hill, Steeplechase, Ratoath",Meath,,"€339,207.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
21/12/2017,"CRISLAMORE, FAHAN, DONEGAL",Donegal,,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/09/2017,"18 OAK DR, RUSHBROOK LINKS, COBH",Cork,,"€185,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2017,"10 GLEN VIEW, DROGHEDA, CO LOUTH",Louth,,"€101,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/07/2017,"24 THE FAIRWAYS, BALLINA, CO MAYO",Mayo,,"€133,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/07/2017,"7A ARDBRACK HEIGHTS, KINSALE, CO CORK",Cork,,"€420,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/12/2017,"2 GROVE COURT, HARDMANS GARDENS, DROGHEDA",Louth,,"€147,500.00",No,No,Second-Hand Dwelling house /Apartment,
03/10/2017,"3 CARRAIG HOUSE, MATT TALBOT ROAD, TRALEE",Kerry,,"€65,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/11/2017,"3 TOWER VIEW COURT, CARA STREET, CLONES",Monaghan,,"€38,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
13/11/2017,"24 Churchfields Close, Churchfields, Ashbourne",Meath,,"€242,290.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
14/09/2017,"5 ASHDALE, WHEATON HALL, DROGHEDA",Louth,,"€265,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/06/2017,"79 THE EGLINGTON, DONNYBROOK CASTLE, DONNYBROOK",Dublin,,"€410,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/08/2017,"OAKGATE, VELDONSTOWN, KENTSTOWN",Meath,,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/05/2017,"6 COLPE CRESCENT, DEEPFORDE, DROGHEDA",Meath,,"€317,500.00",No,No,Second-Hand Dwelling house /Apartment,
18/12/2017,"9 BRYANSTOWN COURT, BRYANSTOWN CENTRE, DUBLIN RD",Louth,,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/06/2017,"9 MOY GLAS LAWN, GRIFFEEN VALLEY, LUCAN",Dublin,,"€304,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/12/2017,"9 BEHY GROVE, KEELNABRACK, GLENBEIGH",Kerry,,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/12/2017,"11 TEMPLE HOUSE, TEMPLE STREET WEST, DUBLIN 7",Dublin,,"€140,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/10/2017,"7 Dun Ard, Kiltoy, Letterkenny",Donegal,,"€220,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
11/04/2017,"408 BEECHMOUNT DR, DUNDALK, LOUTH",Louth,,"€40,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/11/2017,"28 CHURCH VIEW, CLAREGALWAY, GALWAY",Galway,,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/12/2017,"59 CLANCY RD, FINGLAS WEST, DUBLIN 11",Dublin,,"€295,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/12/2017,"18 Hawthorn Gate, Maynooth Road, Celbridge",Kildare,,"€234,900.00",Yes,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
21/12/2017,"40 CEDARHURST RD, PHOENIX PARK RACECOURSE, CASTLEKNOCK DUBLIN 15",Dublin,,"€350,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/11/2017,"89 TORCAILL, PORTMARNOCK, DUBLIN",Dublin,,"€370,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/02/2017,"BALLIMABILLAGH, CAPPATAGGLE, BALLINASLOE",Galway,,"€20,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/12/2017,"80 ROSEMOUNT EST, DUNDRUM RD, DUBLIN 14",Dublin,,"€395,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/09/2017,"KILBRADEN, SHANAGOLDEN, LIMERICK",Limerick,,"€152,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/10/2017,"7 HILLSIDE, BANDUFF, BALLYVOLANE",Cork,,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/03/2017,"10 RIVERSIDE APTS, MAIN ST, CASTLEREA",Roscommon,,"€15,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/03/2017,"CLOONGOWNAGH, KILDIMO, CO LIMERICK",Limerick,,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/05/2017,"47 Castlegrange Court, Castaheaney",Dublin,,"€285,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
22/11/2017,"17 SILVEROE DRIVE, BOYLE, CO ROSCOMMON",Roscommon,,"€17,500.00",Yes,No,Second-Hand Dwelling house /Apartment,
06/06/2017,"GREENHILL, FAHY, OFFALY",Offaly,,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/03/2017,"TAHILLA, GARDENHILL, CASTLECONNELL",Limerick,,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/12/2017,"7 LATCHFORD CLOSE, CASTAHEANY, DUBLIN 15",Dublin,,"€280,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/03/2017,"4 CLAREMONT CLOSE, GLASNEVIN, DUBLIN 11",Dublin,,"€425,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/05/2017,"175 PEARSE PARK, DROGHEDA, LOUTH",Louth,,"€232,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/10/2017,"APT 5 BROOKLAWN HOUSE, BROOKLAWN WOOD, BLACKROCK",Dublin,,"€385,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/12/2017,"3 RAILWAY ROAD, CHARLEVILLE, CO CORK",Cork,,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/12/2017,"DUNEEN, ARDFIELD, CLONAKILTY",Cork,,"€196,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/07/2017,"46 MARGUERITE RD, GLASNEVIN, DUBLIN 9",Dublin,,"€730,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/10/2017,"6 THE FORGE, COXTOWN, DUNMORE EAST",Waterford,,"€95,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/09/2017,"52 LISSADEL CRESCENT, SEABURY, MALAHIDE",Dublin,,"€447,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/08/2017,"56 BRU NA GRUADAN, CASTLETROY, CO LIMERICK",Limerick,,"€137,875.00",No,No,Second-Hand Dwelling house /Apartment,
08/11/2017,"46 Churchfields Close, Ashbourne",Meath,,"€343,612.33",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
19/04/2017,"6 THE GRANARIES, CRANK ROAD, BANAGHER",Offaly,,"€28,375.00",No,No,Second-Hand Dwelling house /Apartment,
11/08/2017,"49 ABBERLEY SQUARE, TALLAGHT, DUBLIN 24",Dublin,,"€108,879.04",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
02/06/2017,"EAST END, BOHERBUE, MALLOW",Cork,,"€79,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/06/2017,"12 GLENALEAMY, CLONMEL, CO TIPPERARY",Tipperary,,"€415,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/08/2017,"14 LANGFIELD, DUBLIN RD, DUNDALK",Louth,,"€154,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/02/2017,"A9 SLADE, TASSAGARD GREEN, SAGGART",Dublin,,"€275,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/04/2017,"29 KILLYCARD MANOR, CASTLEBLAYNEY, CO MONAGHAN",Monaghan,,"€79,735.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
20/07/2017,"APT 1, 95 LOWER MAIN ST, LETTERKENNY",Donegal,,"€117,500.00",No,No,Second-Hand Dwelling house /Apartment,
03/02/2017,"MONEYDASS, BALLYCAHILL, THURLES",Tipperary,,"€128,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/05/2017,"15 POPLAR AVE, FOTA ROCK, CORK",Cork,,"€212,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/02/2017,"41 HARBOUR COURT, GEORGES PLACE, DUN LAOGHAIRE",Dublin,,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/01/2017,"17 CUSTUME PIER, ATHLONE, CO WESTMEATH",Westmeath,,"€102,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/09/2017,"202 THE WALLED GARDENS, CELBRIDGE, KILDARE",Kildare,,"€376,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/08/2017,"264 CHAMBERS PARK, KILCOCK, CO. KILDARE",Kildare,,"€205,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/02/2017,"31 BEACH RD, SANDYMOUNT, DUBLIN 4",Dublin,,"€725,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/10/2017,"30 CLEARWATER COURT SOUTH, ROYAL CANAL PARK, DUBLIN 15",Dublin,,"€199,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/08/2017,"9 STATION RD, PORTARLINGTON, LAOIS",Laois,,"€92,500.00",No,No,Second-Hand Dwelling house /Apartment,
23/08/2017,"7 CASTLE CRESCENT, ASHBOURNE, CO MEATH",Meath,,"€236,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2017,"CHAPEL ROAD, STRADBALLY, CO WARERFORD",Waterford,,"€95,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/10/2017,"20 FITZGERALD PLACE, OLD BLACKROCK RD, CORK",Cork,,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/01/2017,"THE BUNGALOW, DUNKETTLE, GLANMIRE",Cork,,"€125,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
11/05/2017,"45 Seachnall Abbey, Dunshaughlin, County Meath",Meath,,"€506,608.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
10/11/2017,"50 THE LODGE, ABBEYLANDS, CLANE",Kildare,,"€130,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/11/2017,"TULLYLORCAN, CANNINGSTOWN, CAVAN",Cavan,,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/09/2017,"12 MOYVILLE LAWNS, TAYLORS LANE, BALLYBODEN",Dublin,,"€565,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/08/2017,"18 BERRY HILL, CASTLELYONS, CORK",Cork,,"€174,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/10/2017,"142 BRIARWOOD GARDENS, CLONSILLA, DUBLIN 15",Dublin,,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/07/2017,"2 CLUAIN ARD, KILMALEY, ENNIS",Clare,,"€153,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/01/2017,"10 BAGGOT RD, NAVAN RD, DUBLIN 7",Dublin,,"€437,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/05/2017,"AVALON, SURGALSTOWN, KILSALLAGHAN",Dublin,,"€535,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/08/2017,"52 ABBERLEY SQUARE, TALLAGHT, DUBLIN 24",Dublin,,"€108,879.00",No,No,Second-Hand Dwelling house /Apartment,
02/03/2017,"54 CLONARD VILLAGE, CLONARD, WEXFORD",Wexford,,"€161,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/01/2017,"NEWTOWNPILSWORTH, MAGANEY, COUNTY KILDARE",Kildare,,"€55,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/08/2017,"1 TIVOLI COTTAGE, SILVERSPRINGS, CORK",Cork,,"€127,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/08/2017,"57 Hayfield, Straffan Road, Maynooth",Kildare,,"€65,000.00",Yes,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
20/10/2017,"COLLACOON, LOUISBURGH, MAYO",Mayo,,"€280,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/12/2017,"13 AN RADHARC, MARYBOROUGH RIDGE, DOUGLAS",Cork,,"€259,911.89",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
28/02/2017,"THIRSTY NELLIES, BALLYBRITTAS, LAOIS",Laois,,"€20,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/05/2017,"59 Park Avenue, Clongriffin, Dublin 13",Dublin,,"€299,559.47",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
26/10/2017,"ROSEBANK COTTAGE, FARRANAGLOGH, OLDCASTLE",Meath,,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/12/2017,"27 SESKIN ROAD, LEIGHLINBRIDGE, CO. CARLOW",Carlow,,"€42,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
15/03/2017,"5 KILNAMANAGH RD, WALKINSTOWN, DUBLIN 12",Dublin,,"€216,723.31",No,No,Second-Hand Dwelling house /Apartment,
29/06/2017,"49 LUTTRELLSTOWN AVE, CASTLEKNOCK, DUBLIN 15",Dublin,,"€445,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/09/2017,"4 RIVERVIEW GARDENS, BALLYVOLANE, CORK",Cork,,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/11/2017,"6 BRYAN MAHONS TCE, GALWAY ROAD, CLIFDEN",Galway,,"€90,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/09/2017,"APT 66, THORNFIELD SQ, CLONDALKIN DUBLIN 22",Dublin,,"€140,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
07/06/2017,"LEINSTER ST, RATHANGAN, KILDARE",Kildare,,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/11/2017,"136 BRIAN RD, FAIRVIEW, DUBLIN 3",Dublin,,"€400,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/07/2017,"10 BEECHWOOD GROVE, MITCHELSTOWN, CORK",Cork,,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/10/2017,"FURMOYLE, LOUISBURGH, CO MAYO",Mayo,,"€72,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/06/2017,"MAIN STREET, GOLDEN, CO TIPPERARY",Tipperary,,"€50,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/08/2017,"8 UPPER BRIDGE ST, APT 1, SKIBBEREEN",Cork,,"€135,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/02/2017,"16 THE JETTY, KELLYS BAY, SKERRIES",Dublin,,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/06/2017,"NOELLA, 7 GLENDALE DR, GLASHEEN",Cork,,"€330,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/11/2017,"1 WOODSTOWN LAWN, KNOCKLYON, DUBLIN 16",Dublin,,"€561,050.00",No,No,Second-Hand Dwelling house /Apartment,
28/08/2017,"5 GLENVILLE RD CASTLEKNOCK, CASTLEKNOCK DUBLIN 15, DUBLIN",Dublin,,"€455,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/12/2017,"12A BEN BULBEN VIEW, BUNDORAN, DONEGAL",Donegal,,"€70,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2017,"MAIN ST, CONVOY, LIFFORD",Donegal,,"€35,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/11/2017,"38 ST JAMES COURTS, ECHLIN ST, OFF JAMES ST DUBLIN 8",Dublin,,"€240,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/07/2017,"55 COOLRAINE HEIGHTS, CAHERDAVIN, LIMERICK",Limerick,,"€218,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/09/2017,"3 Greenfields, Cloonybeirne, Roscommon",Roscommon,,"€111,894.27",Yes,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
01/03/2017,"17 KINGS HILL, WESTPORT, MAYO",Mayo,,"€450,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/07/2017,"10 Carlinn Heath, Mullaharlin Road, Dundalk",Louth,,"€650,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
26/06/2017,"3 Inis Alainn, Curryclough (O/W Curraclough), Bandon",Cork,,"€160,352.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
28/07/2017,"15 MOY COURT, BACHELORS WALK, BALLINA",Mayo,,"€82,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/11/2017,"3 Parkside Place, Parkside, Malahide Road",Dublin,,"€273,127.75",No,Yes,New Dwelling house /Apartment,less than 38 sq metres
15/12/2017,"11 Waverly Avenue, Blacklion, Waverly",Wicklow,,"€339,207.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
20/01/2017,"LOWER BOHULLION, SPEENOGUE, BURT",Donegal,,"€154,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/10/2017,"37 GREENMOUNT PARK, GREEN RD, NEWBRIDGE KILDARE",Kildare,,"€257,500.00",No,No,Second-Hand Dwelling house /Apartment,
06/10/2017,"23 CHURCHFIELD, DOONBEG, CO CLARE",Clare,,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/02/2017,"2 AENGUS HALL, BELGARD SQ, WEST TALLAGHT DUBLIN 24",Dublin,,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/03/2017,"106 CLEARWATER COVE, OLD DUNLEARY RD, DUN LAOGHAIRE",Dublin,,"€280,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/08/2017,"9 THE DRIVE, CHAPELSTOWN GATE, TULLOW RD",Carlow,,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/12/2017,"82 NAAS RD, DUBLIN 12, DUBLIN",Dublin,,"€340,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/03/2017,"32 MAYNOOTH PARK, MAYNOOTH, KILDARE",Kildare,,"€302,500.00",No,No,Second-Hand Dwelling house /Apartment,
08/02/2017,"1 CARLISLE ST, CIRCULAR RD SOUTH, DUBLIN 8",Dublin,,"€835,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/06/2017,"5 THE BRAMBLES, HERRONSWOOD, CARRIGALINE",Cork,,"€242,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/07/2017,"APARTMENTs 2  3 and 4, MORRISTOWNBILLAR, NEWBRIDGE",Kildare,,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/07/2017,"APT 1, 119/121 UPPER SALTHILL, GALWAY",Galway,,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,
