Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (???),Not Full Market Price,VAT Exclusive,VAT Exclusive,Description of Property,Property Size Description,lat,lng
27/07/2022,"29 THE AVENUE GROVE, THE AVENUE, GOREY",Wexford,Y25VW74,259000,No,No,0,Second-Hand Dwelling house /Apartment,,52.67472,-6.2925
11/11/2022,"46 HALLDENE AVE, BISHOSTOWN, CORK",Cork,T12HCW7,451000,No,No,0,Second-Hand Dwelling house /Apartment,,51.89797,-8.47061
25/05/2022,"19 COLLEGE COURT, KINGS INNS STREET, DUBLIN 1",Dublin,D01NY19,265000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
22/11/2022,"APT 2, 2 MARKET ST, SLIGO",Sligo,,127000,No,No,0,Second-Hand Dwelling house /Apartment,,54.2698503,-8.4735157
27/06/2022,"66 SIENNA, FRANCIS ST, DROGHEDA",Louth,A92X5HW,235000,No,No,0,Second-Hand Dwelling house /Apartment,,53.71889,-6.34778
8/8/2022,"57 Hazel Brooke, Mallow",Cork,,246700,No,Yes,1,New Dwelling house /Apartment,,52.13333,-8.63333
25/08/2022,"DERRRDRUEL, LETTERMACAWARD, DONEGAL",Donegal,F94N6K4,109000,No,No,0,Second-Hand Dwelling house /Apartment,,54.84806,-8.31639
7/10/2022,"17 ULSTER STREET, PHIBSBOROUGH, DUBLIN 7",Dublin,D07HT91,484000,No,No,0,Second-Hand Dwelling house /Apartment,,53.3635963,-6.2752635
9/3/2022,"7 Garran Ferney, Ferney Road, Carrigaline",Cork,,286340,No,Yes,1,New Dwelling house /Apartment,,51.81167,-8.39861
19/08/2022,"15 TEMPLEMICHAEL GLEBE, LONGFORD",Longford,N39R9F3,223500,No,No,0,Second-Hand Dwelling house /Apartment,,53.7313074,-7.7852839
3/6/2022,"21 Clonrath Row, Lusk, County Dublin",Dublin,,396480,No,Yes,1,New Dwelling house /Apartment,,53.5324959,-6.1624664
7/10/2022,"90 Blackmillers Hill, Rathbride Road, Kildare",Kildare,,321590,No,Yes,1,New Dwelling house /Apartment,,53.15611,-6.91444
17/10/2022,"ST ANNES, CHAPEL GREEN, RUSH",Dublin,K56HE26,295000,Yes,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
10/3/2022,"40 COOLMINE BLVD, BLANCHARDSTOWN, DUBLIN 15",Dublin,D15YTC0,150000,No,No,0,Second-Hand Dwelling house /Apartment,,53.3862654,-6.3916122
20/07/2022,"2 BOLTON SQUARE, LOWER DOMINICK STREET, DUBLIN 1",Dublin,D01V078,235000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
14/07/2022,"11 PRUSSELLSTOWN GREEN, ATHY, KILDARE",Kildare,R14RK80,370000,No,No,0,Second-Hand Dwelling house /Apartment,,52.99139,-6.98028
16/08/2022,"14 Lyreen Lodge, Dunboyne Road, Maynooth",Kildare,,440480,No,Yes,1,New Dwelling house /Apartment,,53.385,-6.59361
13/10/2022,"1 Sessile Oaks, Ballyguile, Wicklow",Wicklow,,348020,No,Yes,1,New Dwelling house /Apartment,,52.95861,-6.05389
8/4/2022,"KNOCKANEADY, BALLINEEN, CORK",Cork,,312000,No,No,0,Second-Hand Dwelling house /Apartment,,51.73694,-8.95694
7/3/2022,"CULLENTRA, GLENFARNE, LEITRIM",Leitrim,F91HK22,142500,No,No,0,Second-Hand Dwelling house /Apartment,,54.28694,-7.98722
28/10/2022,"52 WOLFE TONE ST, LIMERICK, LIMERICK",Limerick,V94C3XA,140000,No,No,0,Second-Hand Dwelling house /Apartment,,52.4001844,-8.5737875
28/10/2022,"85 HAZELBURY GREEN, CLONEE, DUBLIN 15",Dublin,D15K793,438000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
14/01/2022,"81 WAVERLEY DRIVE, MERRYMEETING, RATHNEW",Wicklow,,322080,Yes,Yes,1,New Dwelling house /Apartment,,52.99056,-6.08528
21/02/2022,"133 FOREST PARK, DROGHEDA, LOUTH",Louth,A92E08D,241000,No,No,0,Second-Hand Dwelling house /Apartment,,53.7283903,-6.3398368
17/02/2022,"3 PRIORY WALK, CELBRIDGE, KILDARE",Kildare,W23TW90,312000,No,No,0,Second-Hand Dwelling house /Apartment,,53.3352667,-6.5507151
9/8/2022,"MISHELLS HOUSE, MISHELLS, BANDON",Cork,P72D251,530000,No,No,0,Second-Hand Dwelling house /Apartment,,51.74694,-8.7425
13/10/2022,"4 CONABURY CLOSE, CASTLEBLAYNEY, CO MONAGHAN",Monaghan,A75NX06,157000,No,No,0,Second-Hand Dwelling house /Apartment,,54.11667,-6.73333
7/12/2022,"8 RADHARC NA TUAITHE, GOGGANSTOWN, KNOCKRAHA",Cork,T56XF61,258640,No,Yes,1,New Dwelling house /Apartment,,51.95639,-8.34056
25/03/2022,"2 DUN RIOGA AVENUE, DUNSHAUGHLIN, COUNTY MEATH",Meath,A85EH29,356900,No,Yes,1,New Dwelling house /Apartment,,53.5156547,-6.5538034
19/09/2022,"31 THE PLACE, STRAFFAN WOOD, MAYNOOTH",Kildare,W23P8N7,354000,No,No,0,Second-Hand Dwelling house /Apartment,,53.385,-6.59361
10/10/2022,"8 CLUAIN DARA, GORTAHORK, CO DONEGAL",Donegal,F92E363,102000,No,No,0,Second-Hand Dwelling house /Apartment,,55.11667,-8.13333
1/12/2022,"15 SYCAMORE DR, TANYARD WOOD, MILLSTREET",Cork,P51Y3V2,200000,No,No,0,Second-Hand Dwelling house /Apartment,,52.06667,-9.06667
2/2/2022,"DOOLAGH, STAMULLEN, COUNTY DUBLIN",Dublin,,335000,No,No,0,Second-Hand Dwelling house /Apartment,,53.38046,-6.27113
30/06/2022,"8 THIRLESTANE TERRACE, THOMAS COURT, DUBLIN 8",Dublin,D08Y3V5,600000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
30/09/2022,"DUBLIN RD, KILBEGGAN, WESTMEATH",Westmeath,,108000,No,No,0,Second-Hand Dwelling house /Apartment,,53.36944,-7.50333
23/09/2022,"15 MARINE COVE, FOYNES, CO LIMERICK",Limerick,V94P8DT,310000,No,No,0,Second-Hand Dwelling house /Apartment,,52.6104149,-9.1116323
12/4/2022,"87 THE CASINO, MALAHIDE, DUBLIN",Dublin,K36VF96,800000,No,No,0,Second-Hand Dwelling house /Apartment,,53.4507923,-6.1584105
21/12/2022,"13  Dromdiah Park, Killeagh",Cork,,290000,No,Yes,1,New Dwelling house /Apartment,,51.94222,-7.99778
25/02/2022,"BALLYBRADO, CAHIR, CO TIPPERARY",Tipperary,,165000,No,No,0,Second-Hand Dwelling house /Apartment,,52.66667,-7.83333
5/7/2022,"43  The Fairways, Tir Cluain, Midleton",Cork,,299520,No,Yes,1,New Dwelling house /Apartment,,51.9301842,-8.1900669
6/4/2022,"4 COWPER HALL, MOUNT ST ANNES, MILLTOWN DUBLIN 6",Dublin,D06YK84,710000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
20/05/2022,"24 KNOCKBRACK CLOSE, MATTHEWS LANE, DROGHEDA",Louth,A92F85K,133420,No,No,0,Second-Hand Dwelling house /Apartment,,53.71889,-6.34778
30/11/2022,"COONEEN, CUREENEY, KILCOMMON",Tipperary,,180000,No,No,0,Second-Hand Dwelling house /Apartment,,52.47333,-8.15583
31/03/2022,"17 NEWBERRY PARK, TYRRELLS LANE, EDENDERRY",Offaly,R45XC80,210000,No,No,0,Second-Hand Dwelling house /Apartment,,53.34528,-7.04972
11/2/2022,"CAPPAROE, NENAGH, CO TIPPERARY",Tipperary,E45X489,120000,No,No,0,Second-Hand Dwelling house /Apartment,,52.8217285,-8.2672421
13/05/2022,"37 CASTLE HEATH, MALAHIDE, DUBLIN",Dublin,K36D893,340000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
20/09/2022,"8 MARLIFIELD LAWN, KILTIPPER, DUBLIN 24",Dublin,D24KH52,261000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
30/05/2022,"14 LIOS NA MARA, LAHINCH, CO CLARE",Clare,V95VW10,264000,No,No,0,Second-Hand Dwelling house /Apartment,,52.93268,-9.33666
21/07/2022,"56 CRUACHAN PARK, RAHOON, GALWAY CITY",Galway,H91H9FK,520000,No,No,0,Second-Hand Dwelling house /Apartment,,53.2731136,-9.0903562
12/7/2022,"66 ROBERTSHILL CIRCULAR RD, KILKENNY",Kilkenny,R95A2K2,310000,No,No,0,Second-Hand Dwelling house /Apartment,,52.65417,-7.25222
21/12/2022,"17 ATH LETHAN, RACECOURSE RD, DUNDALK",Louth,A91VNY3,232500,Yes,No,0,Second-Hand Dwelling house /Apartment,,54,-6.41667
28/07/2022,"3 PORTNOO, LACKAGH, CO DONEGAL",Donegal,F94WR96,240000,No,Yes,1,New Dwelling house /Apartment,,54.65,-8.11667
11/10/2022,"13 GORT NA FUINSE, HEADFORD, GALWAY",Galway,,302710,No,Yes,1,New Dwelling house /Apartment,,53.46667,-9.1
13/12/2022,"17 CARRAIG PALMER, QUINCENTENNIAL DR, SALTHILL",Galway,H91F4E1,210000,No,Yes,1,New Dwelling house /Apartment,,53.27194,-9.04889
28/01/2022,"2 OLDTOWN RD, SANTRY, DUBLIN 9",Dublin,D09K2T6,380000,No,No,0,Second-Hand Dwelling house /Apartment,,53.3922424,-6.2602292
16/02/2022,"24 FINSBURY GREEN, CHURCHTOWN, DUBLIN 14",Dublin,D14P798,680000,No,No,0,Second-Hand Dwelling house /Apartment,,53.2936472,-6.2535861
6/10/2022,"SELLERNAUN WEST, MOUNTSHANNON, CLARE",Clare,V94E00W,275000,No,No,0,Second-Hand Dwelling house /Apartment,,52.93056,-8.42583
1/3/2022,"9 TETRARCH GROVE, CLONEE, MEATH",Meath,D15P956,620000,No,No,0,Second-Hand Dwelling house /Apartment,,53.41167,-6.44417
12/4/2022,"7 RECTORY MEWS, DUNCORMICK, WEXFORD",Wexford,Y35DC61,250000,No,No,0,Second-Hand Dwelling house /Apartment,,52.2280414,-6.6519789
28/02/2022,"38 CAMDEN WHARF, CAMDEN QUAY, CORK",Cork,T23N409,265000,No,No,0,Second-Hand Dwelling house /Apartment,,51.89797,-8.47061
6/4/2022,"DERNAGOLA, KILLYBRONE, MONAGHAN",Monaghan,,285000,No,No,0,Second-Hand Dwelling house /Apartment,,54.25,-6.96667
14/04/2022,"13A BAIIIS DOWNS, JOHNSTOWN, NAVAN MEATH",Meath,,255000,No,No,0,Second-Hand Dwelling house /Apartment,,53.65278,-6.68139
18/02/2022,"1 THE BULLAWN, NEW ROSS, CO WEXFORD",Wexford,Y34YD37,110000,No,No,0,Second-Hand Dwelling house /Apartment,,52.39667,-6.93667
17/06/2022,"53 THE CRESCENT, OLD FORT ROAD, BALLINCOLLIG TOWN CENTRE",Cork,,270000,No,No,0,Second-Hand Dwelling house /Apartment,,51.89797,-8.47061
2/3/2022,"22 FATIMA PARK, DUNDALK, LOUTH",Louth,A91Y5D0,170000,No,No,0,Second-Hand Dwelling house /Apartment,,54,-6.41667
8/12/2022,"1 BALBRIGGAN ST, SKERRIES, DUBLIN",Dublin,K34WN66,680000,No,No,0,Second-Hand Dwelling house /Apartment,,53.5798665,-6.1128598
18/11/2022,"17 OAKFIELD CRESCENT, SLIGO",Sligo,F91X3F4,175000,No,No,0,Second-Hand Dwelling house /Apartment,,54.2642897,-8.4986395
3/3/2022,"23 CLONTURK PARK, DRUMCONDRA, DUBLIN 9",Dublin,D09E4F5,670000,No,No,0,Second-Hand Dwelling house /Apartment,,53.3690807,-6.2523981
16/03/2022,"BAWN ROAD ACLARE, DRUMCONRATH, NAVAN",Meath,C15P2W5,248000,No,No,0,Second-Hand Dwelling house /Apartment,,53.65278,-6.68139
20/07/2022,"GORTNAGERAGH, DOON, CO LIMERICK",Limerick,V94PK5P,210000,No,No,0,Second-Hand Dwelling house /Apartment,,52.6323794,-8.2187971
9/2/2022,"203 TYRCONNELL ROAD, INCHICORE, DUBLIN 8",Dublin,D08Y8N1,165000,No,No,0,Second-Hand Dwelling house /Apartment,,53.3380325,-6.3231679
11/4/2022,"382 CARNLOUGH ROAD, CABRA, DUBLIN 7",Dublin,D07X5X7,150000,No,No,0,Second-Hand Dwelling house /Apartment,,53.3707498,-6.2975081
4/3/2022,"Apartment 29, St. Joseph's Crescent, Clonsilla",Dublin,,198240,No,Yes,1,New Dwelling house /Apartment,,53.3863743,-6.4282106
4/4/2022,"54 OAKLEIGH, OLD BALREASK, NAVAN",Meath,C15PFT5,337000,No,No,0,Second-Hand Dwelling house /Apartment,,53.65278,-6.68139
12/8/2022,"12 RADHARC NA RUN, SPIDDAL WEST, CO GALWAY",Galway,H91E2TV,467000,No,No,0,Second-Hand Dwelling house /Apartment,,53.27194,-9.04889
6/5/2022,"SYLVAN HOUSE, KILCOLGAN, GALWAY",Galway,H91EKT3,412500,No,No,0,Second-Hand Dwelling house /Apartment,,53.20639,-8.86583
17/01/2022,"32 ST JOSEPHS PLACE, NELSON ST, DUBLIN 7",Dublin,D07K7KK,315000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
2/9/2022,"3 GORT NA GREINE, BALLYOGAN ROAD, SANDYFORD",Dublin,,436120,No,Yes,1,New Dwelling house /Apartment,,53.33306,-6.24889
15/07/2022,"TOOME, BALLYMAHON, LONGFORD",Longford,,238000,No,No,0,Second-Hand Dwelling house /Apartment,,53.5797312,-7.7480528
1/2/2022,"1 GLENDALE, THE NURSERIES, DELGANY",Wicklow,A63AW97,820000,No,No,0,Second-Hand Dwelling house /Apartment,,53.13083,-6.09139
26/08/2022,"49 ROEBUCK HILL, ROEBUCK RD, CLONSKEAGH",Dublin,D14V3K4,388000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
3/3/2022,"CLOUGHANEKILLEEN, GOLEEN, CORK",Cork,P81PV00,265000,No,No,0,Second-Hand Dwelling house /Apartment,,51.49389,-9.70917
14/04/2022,"64 GREENPARK MEADOWS, BALLYMAHON RD, MULLINGAR WESTMEATH",Westmeath,N91P6F6,282500,No,No,0,Second-Hand Dwelling house /Apartment,,53.53333,-7.35
24/03/2022,"66 THORNDALE, LETTERKENNY, DONEGAL",Donegal,F92DVW8,135000,No,No,0,Second-Hand Dwelling house /Apartment,,54.95,-7.73333
5/10/2022,"1 AVONDALE DRIVE, ATHY, CO KILDARE",Kildare,R14HK80,150000,No,No,0,Second-Hand Dwelling house /Apartment,,52.9857638,-6.9920696
1/4/2022,"56 Churchlands, Delgany",Wicklow,,541850,No,Yes,1,New Dwelling house /Apartment,,53.1397203,-6.0817415
17/06/2022,"1 MILLRACE GARDENS, SAGGART, DUBLIN",Dublin,D24EH27,220000,No,No,0,Second-Hand Dwelling house /Apartment,,53.2809544,-6.4524455
11/11/2022,"18 PRIMROSE CRESCENT, THE PASTURES, LOVE LANE",Cork,P56Y206,150000,No,No,0,Second-Hand Dwelling house /Apartment,,51.89797,-8.47061
17/05/2022,"SCHOOL ST, CRINKLE, OFFALY",Offaly,,195000,No,No,0,Second-Hand Dwelling house /Apartment,,53.07722,-7.89722
26/08/2022,"7 Mercer Lodge, Mercer Vale, Cherrywood",Dublin,,462560,No,Yes,1,New Dwelling house /Apartment,,53.33306,-6.24889
10/2/2022,"39 GLENWOOD, DUNDALK, LOUTH",Louth,A91T0A8,225000,No,No,0,Second-Hand Dwelling house /Apartment,,53.9890444,-6.3974608
18/08/2022,"HELLVIC, FARRANLEA RD, MODEL FARM RD",Cork,T12WR6D,430000,No,No,0,Second-Hand Dwelling house /Apartment,,51.89797,-8.47061
1/11/2022,"108 THE FAYTHE, FAYTHE, WEXFORD",Wexford,Y35N4A9,260000,No,No,0,Second-Hand Dwelling house /Apartment,,52.3311995,-6.4546342
28/06/2022,"APARTMENT 13 GROVE HOUSE, THE GROVE, GOATSTOWN ROAD",Dublin,D14E9K0,453650,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
20/04/2022,"27 An Tobar, Newfoundwell Road, Drogheda",Louth,,260020,No,Yes,1,New Dwelling house /Apartment,,53.7230161,-6.3356451
15/12/2022,"50 TUANSGATE, BELGARD SQ, TALLAGHT",Dublin,D24R270,205000,Yes,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
20/09/2022,"7 farnan wood, prosperous",Kildare,,343570,No,Yes,1,New Dwelling house /Apartment,,53.29028,-6.75389
4/3/2022,"22 ST PATRICKS PARK, CARRICK ON SHANNON, LEITRIM",Leitrim,N41FN25,125000,No,No,0,Second-Hand Dwelling house /Apartment,,53.94694,-8.09
19/10/2022,"212 DUN NA COIRIBE, HEADFORD RD, GALWAY",Galway,H91VK6N,236000,No,No,0,Second-Hand Dwelling house /Apartment,,53.27194,-9.04889
13/12/2022,"1A ROWANBRYNN, BLACKROCK, CO DUBLIN",Dublin,A94AT56,840000,No,No,0,Second-Hand Dwelling house /Apartment,,53.38046,-6.27113
8/6/2022,"9 CROTTY AVE, WALKINSTOWN, DUBLIN 12",Dublin,D12P5X0,400000,No,No,0,Second-Hand Dwelling house /Apartment,,53.3187358,-6.3239182
14/04/2022,"APT 4, KEIZER HOUSE, HIGH STREET",Waterford,X91W7RK,120000,No,No,0,Second-Hand Dwelling house /Apartment,,52.25833,-7.11194
27/09/2022,"79 THE WAY, CRADDOCKSTOWN PARK, NAAS",Kildare,W91E2CD,375000,No,No,0,Second-Hand Dwelling house /Apartment,,53.21583,-6.66694
14/07/2022,"SHALWY, KILCAR",Donegal,,341000,No,Yes,1,New Dwelling house /Apartment,,54.63389,-8.59333
21/11/2022,"16 GLEANN PETIT, OLD DUBLIN RD, MULLINGAR",Westmeath,N91H3K2,480000,No,No,0,Second-Hand Dwelling house /Apartment,,53.53333,-7.35
17/11/2022,"DUILCHROI, NOOAN, RUAN",Clare,V95RC2D,249000,No,No,0,Second-Hand Dwelling house /Apartment,,,
25/03/2022,"3 CAME WOODS, CAMETRINGANE, CASTLETOWNBERE",Cork,P75ER04,230000,No,No,0,Second-Hand Dwelling house /Apartment,,,
13/06/2022,"10 ORPEN HILL, STILLORGAN GROVE, BLACKROCK",Dublin,A94P6C2,605000,No,No,0,Second-Hand Dwelling house /Apartment,,53.287453,-6.1859441
5/10/2022,"9 The Green, The Hawthorns, Arden Road",Offaly,,235000,No,Yes,1,New Dwelling house /Apartment,,53.2706117,-7.4813391
9/9/2022,"3 CHANCERY PARK DR, TULLAMORE, OFFALY",Offaly,R35Y1K8,219000,No,No,0,Second-Hand Dwelling house /Apartment,,53.2656102,-7.4696954
30/06/2022,"75 CLIFDEN GLEN, CLIFDEN, CO GALWAY",Galway,H71WN47,150000,No,No,0,Second-Hand Dwelling house /Apartment,,53.4875097,-9.986285
27/05/2022,"CREGGS RD, BALLINA, MAYO",Mayo,,215000,No,No,0,Second-Hand Dwelling house /Apartment,,54.1305066,-9.1261013
16/08/2022,"KNOCKDROMIN, CROAGH, LIMERICK",Limerick,V94P5WY,270000,No,No,0,Second-Hand Dwelling house /Apartment,,52.5508439,-8.8743121
11/2/2022,"4 THE CLOSE, LENNONSTOWN MANOR, RED BARNES ROAD",Louth,A91X3VX,233120,No,No,0,Second-Hand Dwelling house /Apartment,,53.94861,-6.54139
24/09/2022,"APARTMENT11, JOHNSBRIDGE, WATERFORD CITY",Waterford,X91XYT9,106000,No,No,0,Second-Hand Dwelling house /Apartment,,52.25833,-7.11194
6/4/2022,"75A MULCAIRE MANOR, NEWPORT, COUNTY TIPPERARY",Tipperary,V94WEP6,392000,No,No,0,Second-Hand Dwelling house /Apartment,,52.7077936,-8.41397
2/6/2022,"41 COILL CLOCHA, ORANMORE, GALWAY",Galway,H91TX3W,317000,No,No,0,Second-Hand Dwelling house /Apartment,,53.2632634,-8.9270554
3/2/2022,"30 COILL DARACH, CASTLEBLAYNEY, MONAGHAN",Monaghan,A75PK54,205000,No,No,0,Second-Hand Dwelling house /Apartment,,54.1123432,-6.7469196
2/11/2022,"12 ST RONANS TERRACE, CASTLETOWN RD, DUNDALK",Louth,A91W97Y,410000,No,No,0,Second-Hand Dwelling house /Apartment,,54,-6.41667
25/10/2022,"24 BLACKWATER CLOSE ENFIELD, CO. MEATH",Meath,A83XE19,120000,Yes,No,0,Second-Hand Dwelling house /Apartment,,53.4159195,-6.8251394
4/8/2022,"APT 5, 5 SLANEY HOUSE, MAYOR ST LOWER DUBLIN 1",Dublin,D01KN52,365000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
31/05/2022,"18 MASON CLOSE, NEW ST, BALLINROBE",Mayo,F31RK12,120000,No,No,0,Second-Hand Dwelling house /Apartment,,53.63333,-9.23333
29/04/2022,"15 BARRETT PLACE, MACROOM, CORK",Cork,P12EV79,170000,No,No,0,Second-Hand Dwelling house /Apartment,,51.9,-8.95
12/8/2022,"62 ASHFIELD, MULLINGAR, WESTMEATH",Westmeath,N91Y5E5,225000,No,No,0,Second-Hand Dwelling house /Apartment,,53.53333,-7.35
24/05/2022,"7 HEATHERFIELD, RAKEEVAN, BAILIEBOROUGH",Cavan,A82Y6V6,215000,No,No,0,Second-Hand Dwelling house /Apartment,,53.9137327,-6.9585519
4/11/2022,"32 MARTIN SAVAGE TERRACE, SLIGO, SLIGO",Sligo,F91RXE4,172500,No,No,0,Second-Hand Dwelling house /Apartment,,54.2684708,-8.4590663
30/03/2022,"10 WHITEHALL PARK, TERENURE, DUBLIN 12",Dublin,D12AH9W,500000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
19/08/2022,"6 SYCAMORE AVE, BEAUFORT PLACE NAVAN, MEATH",Meath,C15R1X3,265000,No,No,0,Second-Hand Dwelling house /Apartment,,53.65278,-6.68139
1/11/2022,"78 SWIFTBROOK GLEN, VIRGINIA, CAVAN",Cavan,A82VW98,180000,No,No,0,Second-Hand Dwelling house /Apartment,,53.8391572,-7.0968893
4/2/2022,"19 LANSDOWNE CRESCENT, LANSDOWNE PARK, BALLSBRIDGE",Dublin,D04E4W9,650000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
18/11/2022,"42 TRINITY PLAZA, TARA ST, DUBLIN 2",Dublin,D02Y578,440500,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
13/06/2022,"34 TOLKA VALE, GLASNEVIN, DUBLIN 11",Dublin,D11NY11,267000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
20/05/2022,"PULLADOEY, AUGHNACLIFFE, LONGFORD",Longford,N39D284,220000,No,No,0,Second-Hand Dwelling house /Apartment,,53.72536,-7.79823
7/11/2022,"COLPE EAST, DROGHEDA, MEATH",Meath,A92R2V8,125000,No,No,0,Second-Hand Dwelling house /Apartment,,53.66667,-6.66667
25/03/2022,"1 Narroways Park, Bettystown, Meath",Meath,,295150,No,Yes,1,New Dwelling house /Apartment,,53.6972303,-6.2589235
3/6/2022,"25 HOGAN AVENUE, KILEELY, LIMERICK",Limerick,V94RW3X,145000,No,No,0,Second-Hand Dwelling house /Apartment,,52.675112,-8.6375391
10/6/2022,"52 FISHERMANS GROVE, DUNMORE EAST, WATERFORD",Waterford,X91TW10,325000,No,No,0,Second-Hand Dwelling house /Apartment,,52.15139,-6.98611
19/12/2022,"14 The Avenue, Coachroad Meadows, Clane",Kildare,,348020,No,Yes,1,New Dwelling house /Apartment,,53.29139,-6.68917
24/03/2022,"21 Listoke Avenue, Ballymakenny Road, Drogheda",Louth,,245560,No,Yes,1,New Dwelling house /Apartment,,53.71889,-6.34778
15/07/2022,"4 Effernock Lane, Effernock, Trim",Meath,,343610,No,Yes,1,New Dwelling house /Apartment,,53.5487937,-6.7712643
29/09/2022,"13 MYRTLE ST, DUBLIN 7, DUBLIN",Dublin,D07R9C6,505000,No,No,0,Second-Hand Dwelling house /Apartment,,53.3565366,-6.271321
21/10/2022,"202 BALLINACURRA GARDENS, LIMERICK, LIMERICK",Limerick,V94Y3VT,282000,No,No,0,Second-Hand Dwelling house /Apartment,,52.6438408,-8.6338686
4/2/2022,"19D FRIARS COURT, AUSTIN FRIARS STREET, MULLINGAR",Westmeath,N91WT22,156000,No,No,0,Second-Hand Dwelling house /Apartment,,53.53333,-7.35
5/12/2022,"46 THE ELMS, RIDGEWOOD, FORREST ROAD",Dublin,K67E7R0,435000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
4/2/2022,"20 CYPRESS PARK, TEMPLEOGUE, DUBLIN 6W",Dublin,D6WWK28,715000,No,No,0,Second-Hand Dwelling house /Apartment,,53.2994978,-6.3083858
30/09/2022,"32 CILL PHADRIG, NEWPORT, TIPPERARY",Tipperary,V94AX9D,110000,No,No,0,Second-Hand Dwelling house /Apartment,,52.47333,-8.15583
28/10/2022,"7 SHARMAN CRAWFORD ST, CORK, CORK",Cork,T12XHY7,307500,No,No,0,Second-Hand Dwelling house /Apartment,,51.896092,-8.4804892
21/04/2022,"6  BELARMINE  WOODS, BELARMINE  WOODS, STEPASIDE",Dublin,D18E094,820000,No,No,0,Second-Hand Dwelling house /Apartment,,53.2591638,-6.2162063
6/7/2022,"157 CEANNTSFORT, MOUNT BROWN, DUBLIN 8",Dublin,D08Y9KA,500000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
14/06/2022,"4 FOXGLOVE HILL, ROCKLANDS, CAVAN",Cavan,H12Y757,185000,No,No,0,Second-Hand Dwelling house /Apartment,,54.0027196,-7.3469344
7/4/2022,"93 CASTLE LAWNS, BALROTHERY, TALLAGHT DUBLIN 24",Dublin,D24FKK4,150000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
25/03/2022,"113 OAKLAWN WEST, LEIXLIP, KILDARE",Kildare,W23FX53,365000,No,No,0,Second-Hand Dwelling house /Apartment,,53.3672352,-6.5043285
15/03/2022,"2 OLIVEMOUNT TERRACE, WINDY ARBOUR, DUNDRUM DUBLIN 14",Dublin,D14P3K0,495000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
7/12/2022,"12 GRANGE COURT, STAMULLEN, MEATH",Meath,K32HR98,255000,No,No,0,Second-Hand Dwelling house /Apartment,,53.66667,-6.66667
20/12/2022,"30A BATH AVENUE, SANDYMOUNT, DUBLIN 4",Dublin,D04H1K6,1130000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
2/6/2022,"5 Chestnut Close, Foxburrow",Laois,,299560,No,Yes,1,New Dwelling house /Apartment,,53,-7.4
14/10/2022,"21 Harristown Drive, Kildangan Village, County Kildare",Kildare,,325990,No,Yes,1,New Dwelling house /Apartment,,53.15611,-6.91444
12/5/2022,"BRIARLEE 30 ROSE PARK, KILL AVE, DUN LAOGHAIRE",Dublin,A96AX08,639000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
11/8/2022,"34 RYECOURT WOODS, CLOUGHDUV",Cork,,286340,No,Yes,1,New Dwelling house /Apartment,,,
15/12/2022,"5 ST JOHNS TERRACE, ENNISCORTHY, WEXFORD",Wexford,Y21P8W3,395000,No,No,0,Second-Hand Dwelling house /Apartment,,52.50083,-6.55778
28/03/2022,"52 BELFIELD ABBEY, BOREENMANNA ROAD, CORK",Cork,T12CRW3,577000,No,No,0,Second-Hand Dwelling house /Apartment,,51.89797,-8.47061
4/10/2022,"13 SEAFORT VILLAS, SANDYMOUNT, DUBLIN 4",Dublin,D04T2K7,635000,No,No,0,Second-Hand Dwelling house /Apartment,,53.3327097,-6.2147562
23/03/2022,"NANNIES, KEENANS CROSS, TOGHER",Louth,A92WR97,400000,No,No,0,Second-Hand Dwelling house /Apartment,,53.84278,-6.30278
22/06/2022,"4 ESKER PARK, LUCAN, DUBLIN",Dublin,K78KH32,378000,No,No,0,Second-Hand Dwelling house /Apartment,,53.3533955,-6.4320011
