Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (???),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,lat,lng
2/7/2019,"8 LIOS AN OIR, LISMORE, WATERFORD",Waterford,,"???149,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.1347253,-7.9336341
24/09/2019,"CARRICKNAGROW, BLACKLION, CO CAVAN",Cavan,,"???27,500.00",No,No,Second-Hand Dwelling house /Apartment,,54.29168,-7.87539
30/05/2019,"3 GLENDALE GROVE, GLASHEEN, CORK",Cork,,"???250,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,51.8840398,-8.4966631
25/04/2019,"78 AN CIMIN MOR, CAPPAGH RD, GALWAY",Galway,,"???260,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.27194,-9.04889
31/01/2019,"7 EATON TERRACE, EATON DR, RATHCOOLE",Dublin,,"???207,500.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
26/03/2019,"13 RIVER VILLAGE, MONKSLAND, ATHLONE",Roscommon,,"???145,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.63333,-8.18333
10/4/2019,"21 WINE STRAND COTTAGES, BALLYFERRITER, DINGLE",Kerry,,"???155,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.14083,-10.26889
20/12/2019,"24 Hunters Hill, Gorey, County Wexford",Wexford,,"???215,859.03",No,Yes,New Dwelling house /Apartment,,52.67472,-6.2925
23/10/2019,"43 INVER GEAL, CORTOBER, CARRICK ON SHANNON",Roscommon,,"???84,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.63333,-8.18333
19/07/2019,"31 THORNDALE, DUBLIN HILL, CORK",Cork,,"???172,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.921334,-8.4650548
14/05/2019,"51 Abbey Gardens, Abbeyside, Dungarvan",Waterford,,"???215,007.00",No,Yes,New Dwelling house /Apartment,,52.096602,-7.604948
5/11/2019,"ARDATURRISH BEG, GLENGARIFF, CORK",Cork,,"???400,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.75,-9.55
12/8/2019,"36 THE WRITINGS, LISTOWEL, KERRY",Kerry,,"???205,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.44639,-9.485
29/03/2019,"CORLISRATTEN, ARVA, COUNTY CAVAN",Cavan,,"???15,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.91667,-7.58333
27/05/2019,"CASHEL, WILLIAMSTOWN, GALWAY",Galway,,"???45,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.68333,-8.58333
19/02/2019,"RATHALEEK, CALLAN RD, KILKENNY",Kilkenny,,"???350,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.65417,-7.25222
26/09/2019,"135 NEWHAVEN BAY, FLEMINGTON LANE, BALBRIGGAN",Dublin,,"???212,500.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
23/08/2019,"30 The Way, Scholarstown Woods, Scholarstown Wood",Dublin,,"???453,744.49",No,Yes,New Dwelling house /Apartment,,53.33306,-6.24889
17/10/2019,"17 NORTH AVE, MATTHEW HILL, LEHENAGHMORE",Cork,,"???290,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.89797,-8.47061
5/7/2019,"112 BARTON RD EAST, DUNDRUM, DUBLIN 14",Dublin,,"???560,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.2878396,-6.2553224
21/11/2019,"33 THE CRESCENT, CHARLESLAND, GREYSTONES",Wicklow,,"???255,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.14083,-6.06306
21/06/2019,"40 ST EDWARDS TERRACE, SLIGO, SLIGO",Sligo,,"???128,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.2751302,-8.4748093
1/11/2019,"APT 206, RIVERPOINT, BISHOPS QUAY",Limerick,,"???145,161.29",No,No,Second-Hand Dwelling house /Apartment,,52.66472,-8.62306
5/9/2019,"46 MERCHANT SQ, EAST WALL, DUBLIN",Dublin,,"???355,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
12/4/2019,"14 CHERRYWOOD RIDGE, BALLICK RD, MIDLETON",Cork,,"???320,500.00",No,No,Second-Hand Dwelling house /Apartment,,51.91526,-8.18052
1/10/2019,"26 HARBOUR COTTAGES, CARLINGFORD, LOUTH",Louth,,"???235,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.0403621,-6.1787843
4/12/2019,"33 WOODLANDS HALL, RATOATH, CO MEATH",Meath,,"???220,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.5061445,-6.4697194
29/10/2019,"6 MEADOW VIEW, DOUGH, KILRUSH RD",Clare,,"???210,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.81556,-8.96667
8/10/2019,"11 WOODSIDE HALL, TICKNOCK HILL, DUBLIN 18",Dublin,,"???300,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
24/05/2019,"56 Barnwell Woods, Hansfield, Dublin 15",Dublin,,"???292,951.00",No,Yes,New Dwelling house /Apartment,,53.33306,-6.24889
11/7/2019,"37 ASHCROFT, RAHENY, DUBLIN 5",Dublin,,"???450,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
20/06/2019,"122 Barley Field, Wicklow Hills, Newtownmountkennedy",Wicklow,,"???286,991.00",No,Yes,New Dwelling house /Apartment,,53,-6.41667
19/12/2019,"30 Edenbrook Green, Edenbrook, Citywest",Dublin,,"???364,500.00",No,Yes,New Dwelling house /Apartment,,53.33306,-6.24889
25/10/2019,"15 Grace Park Close, Grace Park Wood, Grace Park Road",Dublin,,"???462,555.00",No,Yes,New Dwelling house /Apartment,,53.33306,-6.24889
31/05/2019,"13 ARD NA MUL, LIS NA DARA, CARRICKMACROSS RD",Louth,,"???195,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.94861,-6.54139
29/04/2019,"103 CEDAR BROOK WALK, BALLYFERMOT, DUBLIN 10",Dublin,,"???185,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
19/11/2019,"Unit 4 Edenbrook Grove, Edenbrook, Citywest",Dublin,,"???321,585.90",No,Yes,New Dwelling house /Apartment,,53.33306,-6.24889
24/01/2019,"22 BRINDLEY PARK CRESCENT, ASHBOURNE, MEATH",Meath,,"???285,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.5155406,-6.4095641
15/02/2019,"3 RHODAVILLE PLACE, MOUNTPLEASANT AVENUE LOWER, DUBLIN 6",Dublin,,"???1,145,374.00",No,Yes,New Dwelling house /Apartment,,53.33306,-6.24889
18/12/2019,"35 ELMCASTLE WALK, KILNMANAGH ESTATE, TALLAGHT DUBLIN 24",Dublin,,"???350,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
18/12/2019,"26 Beechwood, Kinsealy Woods, Chapel Road",Dublin,,"???400,881.00",No,Yes,New Dwelling house /Apartment,,53.33306,-6.24889
19/12/2019,"POULAWILLIAM, MULLAGH RD, MILTOWN MALBAY",Clare,,"???125,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.85528,-9.39833
18/12/2019,"16 SADDLERS HALL, KILL, KILDARE",Kildare,,"???310,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.25139,-6.59167
17/05/2019,"39 Drynam Avenue, Swords, Co. Dublin",Dublin,,"???273,126.00",No,Yes,New Dwelling house /Apartment,,53.38046,-6.27113
28/11/2019,"APT 1 37 HARBOUR ROW, COBH, CORK",Cork,,"???262,500.00",No,No,Second-Hand Dwelling house /Apartment,,51.8511563,-8.2882409
4/10/2019,"55 Castleland Park Way, Balbriggan, Co. Dublin.",Dublin,,"???273,127.76",No,Yes,New Dwelling house /Apartment,,53.599356,-6.1814175
18/07/2019,"19 AN GLEIB BALLIVOR, BALLIVOR, MEATH",Meath,,"???270,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.53167,-6.96111
12/6/2019,"21 OAKDALE CLOSE, BALLYCULLEN DUBLIN 24, DUBLIN",Dublin,,"???413,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.2720295,-6.3381635
15/03/2019,"RYEHILL, BALLINDERRY, NENAGH",Tipperary,,"???253,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.47333,-8.15583
11/6/2019,"53 TUR UISCE, DOUGHISKA, GALWAY",Galway,,"???260,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.2832926,-8.9817603
1/11/2019,"35 The Gate, Elsmore, Naas",Kildare,,"???259,912.00",No,Yes,New Dwelling house /Apartment,,53.21583,-6.66694
18/11/2019,"5 COLLEGE ST, BALDOYLE, DUBLIN 13",Dublin,,"???300,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3974881,-6.1286379
11/11/2019,"4 WOODGLADE, FENAGH, COUNTY CARLOW",Carlow,,"???160,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.84083,-6.92611
11/2/2019,"GLEANALAINN, KILCOOLISHAL, GLANMIRE",Cork,,"???550,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.91583,-8.39972
29/11/2019,"2 THE FORGE, AHERLA, CORK",Cork,,"???237,643.00",No,No,Second-Hand Dwelling house /Apartment,,51.85722,-8.73889
14/11/2019,"3 SHANGLAS RD, BEAUMONT, DUBLIN 9",Dublin,,"???337,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3884065,-6.2407027
2/7/2019,"4 GALEY HOUSE, CITYQUARTER, ATHLONE",Westmeath,,"???168,902.72",No,No,Second-Hand Dwelling house /Apartment,,53.43333,-7.95
19/12/2019,"124 ABBEYGROVE, NAVAN, MEATH",Meath,,"???195,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.6639203,-6.6911245
28/03/2019,"13 TALLON HEIGHTS, CASTLETOWNBERE, CO CORK",Cork,,"???112,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.6473524,-9.9152906
18/04/2019,"12 THE PLACE, CITYWEST VILLAGE, CITYWEST",Dublin,,"???281,938.00",No,Yes,New Dwelling house /Apartment,,53.2869017,-6.4186449
21/01/2019,"51 KILNACOURT, PORTARLINGTON, LAOIS",Laois,,"???140,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.1567768,-7.1811816
19/08/2019,"6 BEECHGROVE TERRACE, DROGHEDA, LOUTH",Louth,,"???160,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.71889,-6.34778
30/09/2019,"34 Pellstown Avenue, Royal Canal Park",Dublin,,"???409,691.63",No,Yes,New Dwelling house /Apartment,,53.33306,-6.24889
16/07/2019,"28 CHIEFTAINS DR, CHIEFTAINS WAY, BALBRIGGAN",Dublin,,"???255,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
29/05/2019,"35 DURABAHN, DOUIGHSCA, GALWAY",Galway,,"???43,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,53.27194,-9.04889
24/07/2019,"85 HILLCREST WALK, LUCAN, DUBLIN",Dublin,,"???300,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3518709,-6.4594043
30/07/2019,"APT 1, 24B WATERCOURSE RD, BLACKPOOL",Cork,,"???103,125.00",No,No,Second-Hand Dwelling house /Apartment,,51.91028,-8.47139
23/01/2019,"3 WILLIAM BECKETT HOUSE, PEMBROKE ROW, DUBLIN",Dublin,,"???395,000.00",No,Yes,New Dwelling house /Apartment,,53.33306,-6.24889
11/11/2019,"35 MAXWELL RD, RATHMINES, DUBLIN 6",Dublin,,"???650,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.317746,-6.2668194
13/05/2019,"2 OAK GLADE COURT, BLESSINGTON RD, NAAS",Kildare,,"???210,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.21583,-6.66694
20/12/2019,"11 WATERPARK CLOSE, CARRIGALINE, CORK",Cork,,"???280,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.81167,-8.39861
26/07/2019,"144 GLENMORE WOOD, PETITSWOOD, MULLINGAR",Westmeath,,"???129,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,53.53333,-7.35
12/9/2019,"CORRIN VIEW COTTAGE, LEITRIM, KILWORTH",Cork,,"???160,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.17639,-8.24417
30/05/2019,"14 STAPOLIN HOUSE, Myrtle, BARDOYLE DUBLIN 13",Dublin,,"???247,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
20/03/2019,"150 DUGGAN AVE, GRAIGUECULLEN, CARLOW",Carlow,,"???162,500.00",No,No,Second-Hand Dwelling house /Apartment,,52.84083,-6.92611
12/9/2019,"77 BOROIMHE ALDER, SWORDS, DUBLIN",Dublin,,"???160,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,53.4437579,-6.2379777
11/4/2019,"TOP FLOOR APARTMENT, 5 VICO ROAD, DALKEY",Dublin,,"???700,282.47",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
24/04/2019,"5 The Place, Citywest Village, Citywest",Dublin,,"???281,937.00",No,Yes,New Dwelling house /Apartment,,53.2869017,-6.4186449
19/12/2019,"TEACH BHAN, COOLCOTTS LANE, WEXFORD",Wexford,,"???290,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.33417,-6.4575
15/02/2019,"5 TOWER VIEW FLATS, KILDARE, KILDARE",Kildare,,"???58,750.00",No,No,Second-Hand Dwelling house /Apartment,,53.15611,-6.91444
6/9/2019,"ROSEWOOD HOUSE, LOWER DEERPARK, BOYLE",Roscommon,,"???115,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.96667,-8.3
16/10/2019,"1 The Rise, Ledwill Park, Kilcock",Kildare,,"???378,855.00",No,Yes,New Dwelling house /Apartment,,53.3950289,-6.6639072
24/01/2019,"9 BROGANS LANE, GOFF ST, ROSCOMMON",Roscommon,,"???130,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.63333,-8.18333
15/05/2019,"BELCRUIT WEST, KINCASSLAGH, DONEGAL",Donegal,,"???190,000.00",No,No,Second-Hand Dwelling house /Apartment,,55.02527,-8.39098
24/10/2019,"39 RICHMOND PARK, MONKSTOWN, DUBLIN",Dublin,,"???625,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.2905513,-6.1573007
20/06/2019,"6 BEECHDALE PLACE, BALLYCULLEN, DUBLIN 24",Dublin,,"???323,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.2703193,-6.334796
7/3/2019,"7 LORD LEITRIM COURT, LOUTH RYNN ESTATE, MOHILL",Leitrim,,"???118,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.91667,-7.86667
19/09/2019,"40 KILMURRY ROAD, GARRYOWEN, LIMERICK",Limerick,,"???145,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.66472,-8.62306
11/2/2019,"BALLINADRIMNA, ATHBOY, MEATH",Meath,,"???205,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.62327,-6.91434
16/12/2019,"18 LOHUNDA DOWNS, CLONSILLA, DUBLIN 15",Dublin,,"???253,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
15/02/2019,"9 WATERVILLE ROW, SNUGBOROUGH RD, BLANCHARDSTOWN DUBLIN 15",Dublin,,"???290,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
31/05/2019,"8 CORABBEY COURT, DISTILLERY WALK, MIDLETON",Cork,,"???146,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.91526,-8.18052
7/6/2019,"26 TREACY MEADOWS, GREEN RD, NEWBRIDGE",Kildare,,"???300,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.18194,-6.79667
6/3/2019,"7 Churchfields Way, Churchfields, Ashbourne",Meath,,"???313,555.00",No,Yes,New Dwelling house /Apartment,,53.5082309,-6.4104704
5/9/2019,"45 BANNOW ROAD, CABRA WEST, DUBLIN 7",Dublin,,"???327,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.368231,-6.2903354
7/11/2019,"7 THOMAS ST, CASTLEBLAYNEY, MONAGHAN",Monaghan,,"???44,288.50",No,No,Second-Hand Dwelling house /Apartment,,54.1188536,-6.7353116
8/8/2019,"73 THE CASINO, MALAHIDE, DUBLIN",Dublin,,"???425,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.4507923,-6.1584105
18/06/2019,"BUTLERSTOWN, BANDON, CORK",Cork,,"???195,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.5995845,-8.7277853
26/04/2019,"26 THE WILLOW, ROCKFIELD, DUNDRUM",Dublin,,"???410,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
22/05/2019,"73 DUNMASC, DUBLIN ROAD, PORTLAOISE",Laois,,"???235,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.03441,-7.29979
17/10/2019,"14 CHIEFTAINS RD, CHEIFTAINS WAY, BALLBRIGGAN",Dublin,,"???175,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
17/09/2019,"APT 1, 2 ST PATRICKS AVE, DALKEY",Dublin,,"???368,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
9/12/2019,"25 Rookery Woods, Ballycasheen, Killarney",Kerry,,"???361,916.30",No,Yes,New Dwelling house /Apartment,,52.05,-9.51667
17/12/2019,"9 CEDAR RD, FOTA ROCK, CARRIGTWOHILL",Cork,,"???222,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.9131865,-8.2507408
12/7/2019,"2 FIRST AVENUE, THE RANCH, BALLYFERMOT",Dublin,,"???211,500.00",No,No,Second-Hand Dwelling house /Apartment,,53.3431727,-6.3302567
29/04/2019,"13 ARDLONAN, LETTERKENNY, DONEGAL",Donegal,,"???100,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.95,-7.73333
6/12/2019,"FRIAR ST, YOUGHAL, CORK",Cork,,"???285,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.9501057,-7.8442911
15/04/2019,"24 Somerton Copse, Newcastle Road, Lucan",Dublin,,"???321,600.00",No,Yes,New Dwelling house /Apartment,,53.33306,-6.24889
25/10/2019,"13  Brescula Close, Bellingham, Mountrath Road",Laois,,"???186,079.29",No,Yes,New Dwelling house /Apartment,,53,-7.4
18/02/2019,"157 BELMONT PARK, RAHENY, DUBLIN 5",Dublin,,"???421,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
14/02/2019,"RAHEENDUFF RD, CUFFESGRANGE, KILKENNY",Kilkenny,,"???365,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.65417,-7.25222
16/05/2019,"18 Cluain Ard, Blarney, Co. Cork",Cork,,"???268,731.27",No,Yes,New Dwelling house /Apartment,,51.9378231,-8.5667087
15/02/2019,"CROWLE, CLOUGHJORDAN, CO TIPPERARY",Tipperary,,"???220,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.66667,-7.83333
6/2/2019,"67 DRYNAM AVENUE, KETTLES LANE, KINSEALY",Dublin,,"???295,154.20",No,Yes,New Dwelling house /Apartment,,53.33306,-6.24889
16/12/2019,"GARROLAGH, CLOGHERHEAD, DROGHEDA",Louth,,"???337,500.00",No,No,Second-Hand Dwelling house /Apartment,,53.71889,-6.34778
29/05/2019,"2 Rhodaville Place, Mountpleasant Avenue",Dublin,,"???610,000.00",No,Yes,New Dwelling house /Apartment,,53.33306,-6.24889
25/07/2019,"210 Caislean na Habhainn, Castletroy, Limerick",Limerick,,"???343,000.00",No,Yes,New Dwelling house /Apartment,,52.66472,-8.62306
9/7/2019,"65 BRABAZON HALL, CORK ST, DUBLIN 8",Dublin,,"???200,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
17/12/2019,"39 CLONSHAUGH WALK, COOLOCK, DUBLIN CITY",Dublin,,"???180,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
21/06/2019,"GRANGEMORE, BRANNOCKSTOWN, KILDARE",Kildare,,"???487,500.00",No,No,Second-Hand Dwelling house /Apartment,,53.12139,-6.68972
17/12/2019,"10 TYRELLSTOWN WAY, MULHUDDART, DUBLIN 15",Dublin,,"???185,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
13/09/2019,"ADAMSTOWN, KILMEADEN, CO WATERFORD",Waterford,,"???195,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.25833,-7.11194
12/4/2019,"27 THE SPIRES, LAHERFINEEN, INNISHANNON",Cork,,"???290,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.7654,-8.65705
23/01/2019,"24 UPPER MOUNTPLEASANT AVE, RANELAGH, DUBLIN 6",Dublin,,"???387,500.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
8/5/2019,"11 MOYLE CRESCENT, CLONDALKIN, DUBLIN 22",Dublin,,"???372,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3192073,-6.3940156
29/12/2019,"4 lyreen lawn, mariavilla, maynooth",Kildare,,"???325,991.00",No,Yes,New Dwelling house /Apartment,,53.3885489,-6.5877421
20/09/2019,"4 EDWARD TERRACE, SORRENTO ROAD, DALKEY",Dublin,,"???895,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
17/05/2019,"104 THE OAKS, ROCKFORD MANOR, DUBLIN",Dublin,,"???418,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
28/11/2019,"TYONE, NENAGH, TIPPERARY",Tipperary,,"???245,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.8529011,-8.1862566
23/10/2019,"51 ANNADALE DR, WHITEHALL, DUBLIN",Dublin,,"???485,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
12/9/2019,"AUGHEYGAULT, DRUMKEEN, LIFFORD",Donegal,,"???57,500.00",No,No,Second-Hand Dwelling house /Apartment,,54.83194,-7.48361
23/10/2019,"73 Brighton Wood, Foxrock",Dublin,,"???700,441.00",No,Yes,New Dwelling house /Apartment,,53.33306,-6.24889
15/02/2019,"BREFFA, CARRIGAHOLT, CLARE",Clare,,"???125,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.60333,-9.70806
15/03/2019,"8 RAFTER ST, GOREY, WEXFORD",Wexford,,"???167,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.6767468,-6.2927264
19/12/2019,"2H RATHBORNE WAY, ASHTOWN, DUBLIN 15",Dublin,,"???285,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3773777,-6.3284376
25/02/2019,"6 Grace Park Row, Grace Park Wood, Grace Park Road",Dublin,,"???515,418.51",No,Yes,New Dwelling house /Apartment,,53.33306,-6.24889
20/06/2019,"24 ASHGROVE, MOUNTMELLICK, LAOIS",Laois,,"???169,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.11361,-7.32
1/4/2019,"9 CASTLE HILL, CARLOW TOWN, CARLOW",Carlow,,"???110,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.84083,-6.92611
19/03/2019,"281 GRIFFITH AVE, DRUMCONDRA, DUBLIN 9",Dublin,,"???905,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3767067,-6.253043
31/05/2019,"7 SPRINGFIELD GARDENS, BALLYMAKEALY, CELBRIDGE",Kildare,,"???87,634.08",Yes,No,Second-Hand Dwelling house /Apartment,,53.3328979,-6.5547345
25/03/2019,"40 The Avenue, Crawford Woods, Church Hill",Cork,,"???330,396.00",No,Yes,New Dwelling house /Apartment,,51.89797,-8.47061
9/5/2019,"7 THE FAIRWAYS, CASTLE ROCK, MIDLETON",Cork,,"???396,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.9093875,-8.1991237
4/3/2019,"ANGEL HAVEN, CRAN, KILDAVIN",Carlow,,"???295,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.68139,-6.68667
25/04/2019,"6 Seaview Way, Cnoc na Mara, Blackrock",Louth,,"???222,467.00",No,Yes,New Dwelling house /Apartment,,53.96405,-6.36514
23/04/2019,"MIRADORE, CLIFF RD, ENNISCRONE",Sligo,,"???78,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.21285,-9.09317
10/12/2019,"12 GLEANN NA RIOGH CRESENT, NAAS, KILDARE",Kildare,,"???315,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.21583,-6.66694
17/05/2019,"60 GEORGES AVE, BLACKROCK, DUBLIN",Dublin,,"???540,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3001713,-6.1806641
18/01/2019,"3 DROMEEN AVE, DUBLIN 9, DUBLIN",Dublin,,"???395,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3840824,-6.2297094
9/5/2019,"26 MOUNT ARGUS CRESCENT, HAROLDS CROSS, DUBLIN 6",Dublin,,"???443,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
9/7/2019,"RACLAGHY, MOUNTNUGENT, CAVAN",Cavan,,"???210,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.99083,-7.36056
6/6/2019,"7 The Avenue, Broadmeadow Vale, Ratoath",Meath,,"???299,559.47",No,Yes,New Dwelling house /Apartment,,53.50806,-6.4625
22/07/2019,"62 ELMBROOK WALK, LUCAN, DUBLIN",Dublin,,"???310,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3516561,-6.4291957
11/4/2019,"10 MEADOW PARK CLOSE, BALLYVOLANE, CORK",Cork,,"???225,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.9177838,-8.4518418
13/05/2019,"62 Hazel Glen, Hazel Brook, Spa Glen",Cork,,"???215,859.03",Yes,Yes,New Dwelling house /Apartment,,51.89797,-8.47061
7/6/2019,"1 THE BULLAWN, NEW ROSS, CO WEXFORD",Wexford,,"???35,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.39667,-6.93667
7/5/2019,"248 KILMAINHAM SQ, INCHICORE RD, DUBLIN 8",Dublin,,"???375,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
6/12/2019,"15 The Meadows, Marlton Road, Wicklow Town",Wicklow,,"???246,696.00",No,Yes,New Dwelling house /Apartment,,53,-6.41667
16/07/2019,"23 DODDERBROOK PARK, OLDCOURT ROAD, BALLYCULLEN",Dublin,,"???425,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
26/09/2019,"75 Longstone, Blessington Road, Craddockstown",Kildare,,"???343,612.33",No,Yes,New Dwelling house /Apartment,,53.15611,-6.91444
28/03/2019,"7 MEADOWBROOK LAWNS, MAYNOOTH, KILDARE",Kildare,,"???327,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.374599,-6.5977444
11/10/2019,"BALLINAGEERAGH, DUNHILL, COUNTY WATERFORD",Waterford,,"???146,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.1776886,-7.2768879
21/11/2019,"LOUGH, DOOLIN, CLARE",Clare,,"???350,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.0225,-9.39333
11/2/2019,"4 WILLOW GROVE, KILLARNEY, CO KERRY",Kerry,,"???60,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,52.070987,-9.5146607
22/03/2019,"155 SWORDS RD, WHITEHALL, DUBLIN 9",Dublin,,"???555,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3846367,-6.2439057
4/7/2019,"29 The Downs, Moyglare Hall, Moyglare Road",Kildare,,"???484,581.50",No,Yes,New Dwelling house /Apartment,,53.15611,-6.91444
12/9/2019,"26 STRALEM MEWS, ONGAR, DUBLIN 15",Dublin,,"???137,709.00",No,No,Second-Hand Dwelling house /Apartment,,53.3926824,-6.4325553
